job-name,id_okpdtr,okpdtr
Учитель (преподаватель) русского языка и литературы,,
"Методист библиотеки, дома народного творчества, клубного учреждения, музея, центра (научно-методического, народной культуры и др.)",49310.0,"Методист библиотеки, дома народного творчества, клубного учреждения, музея, центра (научно-методического, народной культуры и др.)"
Бухгалтер,48104.0,Бухгалтер
Водитель автомобиля,43277.0,Водитель автомобиля
Полицейский,,
Младший инспектор,,
Полицейский-водитель,,
Стропальщик,47024.0,Стропальщик
Медицинская сестра палатная (постовая),49378.0,Медицинская сестра патронажная
Медицинская сестра,49283.0,Медицинская сестра
Врач-уролог,,
Врач-офтальмолог,,
Врач ультразвуковой диагностики,,
Медицинская сестра процедурной,49382.0,Медицинская сестра процедурной
Слесарь-ремонтник,46857.0,Слесарь-ремонтник
Кладовщик,43976.0,Кладовщик
Укладчик-упаковщик,47240.0,Укладчик-упаковщик
Водитель погрузчика,43283.0,Водитель погрузчика
Педагог-организатор 1 категории (класса),49712.0,Педагог-организатор
Подсобный рабочий,45964.0,Подсобный рабочий
Учитель-логопед высшей категории (класса),50255.0,Учитель-логопед
Слесарь аварийно-восстановительных работ в газовом хозяйстве,46807.0,Слесарь аварийно-восстановительных работ в газовом хозяйстве
Пекарь,45817.0,Пекарь
Уборщик производственных и служебных помещений,47220.0,Уборщик производственных и служебных помещений
Специалист по защите информации,50048.0,Специалист по защите информации
Юрист,,
Государственный налоговый инспектор,48385.0,Государственный налоговый инспектор
Менеджер,49291.0,Менеджер
Механизатор (докер-механизатор) комплексной бригады на погрузочно-разгрузочных работах,44817.0,Механизатор (докер-механизатор) комплексной бригады на погрузочно-разгрузочных работах
Тракторист,47189.0,Тракторист
Тракторист,47189.0,Тракторист
Тракторист,47189.0,Тракторист
Ветеринарный врач,48125.0,Ветеринарный врач
Оператор по искусственному осеменению животных и птицы,45511.0,Оператор по искусственному осеменению животных и птицы
Дворник,43457.0,Дворник
Тракторист-машинист сельскохозяйственного производства,47191.0,Тракторист-машинист сельскохозяйственного производства
Машинист (кочегар) котельной,44484.0,Машинист (кочегар) котельной
Торговый представитель российской федерации,49822.0,Торговый представитель Российской Федерации
Специалист по маникюру (маникюрша),,
Парикмахер,45803.0,Парикмахер
Делопроизводитель,48437.0,Делопроизводитель
Подсобный рабочий,45964.0,Подсобный рабочий
Плотник,45919.0,Плотник
Электрогазосварщик,47521.0,Электрогазосварщик
Водитель автомобиля,43277.0,Водитель автомобиля
Специалист по маникюру (маникюрша),,
Учитель (преподаватель) истории и обществознания,,
Учитель (преподаватель) физики,,
Учитель (преподаватель) иностранного языка,,
Водитель автомобиля,43277.0,Водитель автомобиля
Рабочий по комплексному обслуживанию и ремонту зданий,46341.0,Рабочий по комплексному обслуживанию и ремонту зданий
Педагог-организатор,49712.0,Педагог-организатор
Преподаватель (в начальной школе),49833.0,Преподаватель (в начальной школе)
Повар,45921.0,Повар
Учитель (преподаватель) иностранного языка,,
Учитель (преподаватель) русского языка и литературы,,
Педагог-организатор,49712.0,Педагог-организатор
Учитель (преподаватель) математики,,
Пекарь,45817.0,Пекарь
Учитель (преподаватель) химии,,
Оператор производственного участка,,
Офис-менеджер,49291.0,Менеджер
Швея,47431.0,Швея
Лаборант,49182.0,Лаборант
Электромонтер по ремонту и обслуживанию электрооборудования,47578.0,Электромонтер по ремонту и обслуживанию электрооборудования
Водитель автомобиля,43277.0,Водитель автомобиля
Слесарь-ремонтник,46857.0,Слесарь-ремонтник
Заместитель директор (заведующий) по учебно-воспитательной работе,,
Учитель-логопед 2 категории (класса),50255.0,Учитель-логопед
Педагог-психолог 2 категории (класса),49713.0,Педагог-психолог
Учитель (преподаватель) русского языка и литературы 1 категории (класса),,
Воспитатель 2 категории (класса),48130.0,Воспитатель
Экскурсовод,50353.0,Экскурсовод
Кассир билетный,43953.0,Кассир билетный
Врач-офтальмолог,,
Системный администратор,,
Врач-уролог,,
Врач-сердечно-сосудистый хирург,,
Врач-аллерголог-иммунолог,,
Врач-эндокринолог,,
Врач-ревматолог,,
Учитель (преподаватель) иностранного языка,,
Учитель (преподаватель) русского языка и литературы,,
Учитель (преподаватель) информатики,,
Учитель (преподаватель) физики,,
Подсобный рабочий,45964.0,Подсобный рабочий
Менеджер (в торговле),49295.0,Менеджер (в торговле)
Заместитель директор по капитальному строительству,,
Станочник широкого профиля,46993.0,Станочник широкого профиля
Учитель (преподаватель) музыки и пения,,
Уборщик территорий 1 разряда,47221.0,Уборщик территорий
Уборщик производственных и служебных помещений 1 разряда,47220.0,Уборщик производственных и служебных помещений
Офис-менеджер,49291.0,Менеджер
Инженер,48799.0,Инженер
Экономист,50342.0,Экономист
Формовщик железобетонных изделий и конструкций,47302.0,Формовщик железобетонных изделий и конструкций
Электрогазосварщик,47521.0,Электрогазосварщик
Рабочий по комплексному обслуживанию и ремонту зданий,46341.0,Рабочий по комплексному обслуживанию и ремонту зданий
Учитель (преподаватель) русского языка и литературы,,
Учитель (преподаватель) физики,,
Учитель (преподаватель) математики,,
Педагог социальный,49714.0,Педагог социальный
Секретарь учебной части (диспетчер),49998.0,Секретарь учебной части (диспетчер)
Тьютор,,
Уборщик производственных и служебных помещений,47220.0,Уборщик производственных и служебных помещений
Инженер производственно-технического отдела,,
Монтажник,44868.0,Монтажник
Штукатур,47510.0,Штукатур
Врач-стоматолог-терапевт,,
Врач-дерматолог (дерматовенеролог),,
Врач-хирург,,
Физиолог,50266.0,Физиолог
Фельдшер,50263.0,Фельдшер
Врач-рентгенолог,,
Врач-оториноларинголог,,
Врач-терапевт участковый,48159.0,Врач-терапевт участковый
Ведущий юрисконсульт,,
Швея,47431.0,Швея
Портной,46018.0,Портной
Кладовщик,43976.0,Кладовщик
Монтажник радиоэлектронной аппаратуры и приборов 5 разряда,44905.0,Монтажник радиоэлектронной аппаратуры и приборов
Слесарь-сборщик радиоэлектронной аппаратуры и приборов,46863.0,Слесарь-сборщик радиоэлектронной аппаратуры и приборов
Учитель (преподаватель) географии 1 категории (класса),,
Учитель (преподаватель) химии высшей категории (класса),,
Рабочий по комплексному обслуживанию и ремонту зданий,46341.0,Рабочий по комплексному обслуживанию и ремонту зданий
Подсобный рабочий,45964.0,Подсобный рабочий
Повар,45921.0,Повар
Кухонный рабочий,44223.0,Кухонный рабочий
Фармацевт,50259.0,Фармацевт
Главный инженер,48269.0,Главный инженер проекта
Главный механик,48262.0,Главный зоотехник
Мастер дорожный,49215.0,Мастер дорожный
Водитель автомобиля,43277.0,Водитель автомобиля
Уборщик производственных и служебных помещений,47220.0,Уборщик производственных и служебных помещений
Рабочий в производстве пищевой продукции,,
Уборщик территорий,47221.0,Уборщик территорий
Уборщик территорий,47221.0,Уборщик территорий
Матрос-спасатель,44337.0,Матрос-спасатель
Парикмахер,45803.0,Парикмахер
Специалист по маникюру (маникюрша),,
Механизатор (докер-механизатор) комплексной бригады на погрузочно-разгрузочных работах,44817.0,Механизатор (докер-механизатор) комплексной бригады на погрузочно-разгрузочных работах
Рабочий по уходу за животными,46343.0,Рабочий по уходу за животными
Главный ветеринарный врач,48220.0,Главный ветеринарный врач
Электрогазосварщик,47521.0,Электрогазосварщик
Изготовитель декоративных элементов мебели,43733.0,Изготовитель декоративных элементов мебели
Резчик металла на ножницах и прессах,46530.0,Резчик металла на ножницах и прессах
Машинист крана (крановщик),44486.0,Машинист крана (крановщик)
Электрик цеха,50364.0,Электрик цеха
Продавец непродовольственных товаров,46241.0,Продавец непродовольственных товаров
Водитель автомобиля,43277.0,Водитель автомобиля
Механик цеха,49357.0,Механик цеха
Бухгалтер,48104.0,Бухгалтер
Учитель (преподаватель) математики,,
Медицинская сестра,49283.0,Медицинская сестра
Врач-инфекционист,,
Врач-хирург,,
Врач-стоматолог,,
Фельдшер,50263.0,Фельдшер
Врач-анестезиолог-реаниматолог,,
Акушерка,48022.0,Акушерка
Врач-рентгенолог,,
Медицинский регистратор,49287.0,Медицинский регистратор
Подсобный рабочий,45964.0,Подсобный рабочий
Врач-дерматолог (дерматовенеролог),,
Повар,45921.0,Повар
Полировщик,45978.0,Полировщик
Жестянщик,43540.0,Жестянщик
Рихтовщик кузовов,46618.0,Рихтовщик кузовов
Колорист,44013.0,Колорист
Слесарь по ремонту автомобилей,46834.0,Слесарь по ремонту автомобилей
Повар,45921.0,Повар
Рихтовщик кузовов,46618.0,Рихтовщик кузовов
Слесарь по ремонту автомобилей,46834.0,Слесарь по ремонту автомобилей
Жестянщик,43540.0,Жестянщик
Полировщик,45978.0,Полировщик
Слесарь-ремонтник,46857.0,Слесарь-ремонтник
Колорист,44013.0,Колорист
Бухгалтер,48104.0,Бухгалтер
Генеральный директор предприятия,48176.0,Генеральный директор предприятия
Директор по экономике,48503.0,Директор по экономике
Охранник,49701.0,Охранник
Массажист,49202.0,Массажист
Инженер,48799.0,Инженер
Повар,45921.0,Повар
Уборщик производственных и служебных помещений,47220.0,Уборщик производственных и служебных помещений
"Тракторист по подготовке лесосек,трелевке и вывозке леса",47190.0,"Тракторист по подготовке лесосек,трелевке и вывозке леса"
Вальщик леса,43231.0,Вальщик леса
Начальник цеха,49646.0,Начальник цеха
Рамщик,46423.0,Рамщик
Станочник деревообрабатывающих станков,46979.0,Станочник деревообрабатывающих станков
Кухонный рабочий,44223.0,Кухонный рабочий
Уборщик производственных и служебных помещений,47220.0,Уборщик производственных и служебных помещений
Горничная,43406.0,Горничная
Буфетчик,43197.0,Буфетчик
Менеджер высшей категории (класса),49291.0,Менеджер
Парикмахер,45803.0,Парикмахер
Специалист по маникюру (маникюрша),,
Водитель автомобиля,43277.0,Водитель автомобиля
Разнорабочий,,
Водитель погрузчика,43283.0,Водитель погрузчика
Столяр,47013.0,Столяр
Стрелок,47019.0,Стрелок
Водитель автомобиля,43277.0,Водитель автомобиля
Уборщик производственных и служебных помещений,47220.0,Уборщик производственных и служебных помещений
Токарь,47160.0,Токарь
Повар,45921.0,Повар
Официант,45785.0,Официант
Учитель (преподаватель) технологии и предпринимательства,,
Начальник отряда (в прочих отраслях),49533.0,Начальник отряда (в прочих отраслях)
Начальник отряда (в прочих отраслях),49533.0,Начальник отряда (в прочих отраслях)
Ветеринарный фельдшер,48126.0,Ветеринарный фельдшер
Продавец продовольственных товаров,46242.0,Продавец продовольственных товаров
Почтальон 2 категории (класса),46025.0,Почтальон
Почтальон 1 категории (класса),46025.0,Почтальон
Инструктор,49006.0,Инструктор
Почтальон 2 категории (класса),46025.0,Почтальон
Почтальон 2 категории (класса),46025.0,Почтальон
Почтальон 2 категории (класса),46025.0,Почтальон
Почтальон 2 категории (класса),46025.0,Почтальон
Почтальон 2 категории (класса),46025.0,Почтальон
Почтальон 2 категории (класса),46025.0,Почтальон
Почтальон 2 категории (класса),46025.0,Почтальон
Врач-статистик,48154.0,Врач-статистик
Уборщик производственных и служебных помещений,47220.0,Уборщик производственных и служебных помещений
Программист,49855.0,Программист
Дизайнер компьютерной графики высшей категории (класса),,
Специалист,50028.0,Специалист
Логопед,49198.0,Логопед
Юрисконсульт,50391.0,Юрисконсульт
Социальный работник,50024.0,Социальный работник
Слесарь-сантехник,46858.0,Слесарь-сантехник
"Преподаватель (в колледжах, университетах и других вузах)",49829.0,"Преподаватель (в колледжах, университетах и других вузах)"
Слесарь по ремонту автомобилей,46834.0,Слесарь по ремонту автомобилей
Врач-психиатр высшей категории (класса),48151.0,Врач-психиатр детский
Юрисконсульт высшей категории (класса),50391.0,Юрисконсульт
Фармацевт высшей категории (класса),50259.0,Фармацевт
Медицинская сестра палатная (постовая) высшей категории (класса),49378.0,Медицинская сестра патронажная
Зубной врач высшей категории (класса),48797.0,Зубной врач
Инструктор по лечебной физкультуре высшей категории (класса),49045.0,Инструктор по лечебной физкультуре
Мойщик автомобилей,,
Водитель автомобиля,43277.0,Водитель автомобиля
Уборщик производственных и служебных помещений,47220.0,Уборщик производственных и служебных помещений
Кондитер,44053.0,Кондитер
Учитель (преподаватель) иностранного языка,,
Преподаватель (в начальной школе),49833.0,Преподаватель (в начальной школе)
Инструктор по физической культуре,49053.0,Инструктор по физической культуре
Швея,47431.0,Швея
Швея,47431.0,Швея
Инженер,48799.0,Инженер
Транспортный экспедитор,50220.0,Транспортный экспедитор
Агент коммерческий,47982.0,Агент коммерческий
Упаковщик,47960.0,Упаковщик
Мастер,49203.0,Мастер
Массажист,49202.0,Массажист
Мастер,49203.0,Мастер
Тренер,50222.0,Тренер
Специалист по маникюру (маникюрша),,
Парикмахер,45803.0,Парикмахер
Разнорабочий,,
Музыкальный руководитель,49372.0,Музыкальный руководитель
Учитель (преподаватель) изобразительного искусства и черчения,,
Преподаватель (в начальной школе),49833.0,Преподаватель (в начальной школе)
Учитель (преподаватель) основ безопасности жизнедеятельности,,
Учитель (преподаватель) музыки и пения,,
Учитель (преподаватель) информатики,,
Воспитатель,48130.0,Воспитатель
Воспитатель,48130.0,Воспитатель
Помощник воспитателя,46002.0,Помощник воспитателя
Слесарь-сборщик 5 разряда,47942.0,Слесарь-сборщик
Газосварщик,43371.0,Газосварщик
Зоотехник,48794.0,Зоотехник
Тракторист,47189.0,Тракторист
Бухгалтер,48104.0,Бухгалтер
Агент по снабжению,47993.0,Агент по снабжению
Транспортный экспедитор,50220.0,Транспортный экспедитор
Комплектовщик товаров,44043.0,Комплектовщик товаров
Приемщик-отправитель,46203.0,Приемщик-отправитель
Консультант,49134.0,Консультант
Водитель автомобиля,43277.0,Водитель автомобиля
Помощник машиниста электровоза,46014.0,Помощник машиниста электровоза
Машинист электровоза,44793.0,Машинист электровоза
Помощник машиниста электровоза,46014.0,Помощник машиниста электровоза
Машинист тепловоза,44715.0,Машинист тепловоза
Медицинская сестра,49283.0,Медицинская сестра
"Главный врач (директор, заведующий, начальник) учреждения здравоохранения",48223.0,"Главный врач (директор, заведующий, начальник) учреждения здравоохранения"
Подсобный рабочий,45964.0,Подсобный рабочий
Слесарь по ремонту автомобилей,46834.0,Слесарь по ремонту автомобилей
Маляр,44318.0,Маляр
