address,id_mrigo,mrigo
"Новосибирская область, 632551, г Чулым, р-н Чулымский, пер Пролетарский, д. 5, 80.967825, 55.09203",37.0,Чулымский
"Новосибирская область, 630005, г Новосибирск, ул Писарева, д. 53, 82.920007, 55.049333",23.0,Новосибирск
"Новосибирская область, 630005, г Новосибирск, ул Писарева, д. 53, 82.920007, 55.049333",23.0,Новосибирск
"Новосибирская область, 630005, г Новосибирск, ул Писарева, д. 53, 82.920007, 55.049333",23.0,Новосибирск
"Новосибирская область, 630005, г Новосибирск, ул Писарева, д. 53, 82.920007, 55.049333",23.0,Новосибирск
"Новосибирская область, 630005, г Новосибирск, ул Писарева, д. 53, 82.920007, 55.049333",23.0,Новосибирск
"Новосибирская область, 630005, г Новосибирск, ул Писарева, д. 53, 82.920007, 55.049333",23.0,Новосибирск
"Новосибирская область, 630005, г Новосибирск, ул Писарева, д. 53, 82.920007, 55.049333",23.0,Новосибирск
"Новосибирская область, 630005, г Новосибирск, ул Писарева, д. 53, 82.920007, 55.049333",23.0,Новосибирск
"Новосибирская область, 630005, г Новосибирск, ул Писарева, д. 53, 82.920007, 55.049333",23.0,Новосибирск
"Новосибирская область, 630005, г Новосибирск, ул Писарева, д. 53, 82.920007, 55.049333",23.0,Новосибирск
"Новосибирская область, 630010, г Новосибирск, ул Дегтярева, д. 19, обращаться: ул.Челюскинцев, д.18/2, оф.518, 83.031794, 55.04385",23.0,Новосибирск
"Новосибирская область, 630010, г Новосибирск, ул Дегтярева, д. 19, обращаться: ул.Челюскинцев, д.18/2, оф.518, 83.031794, 55.04385",23.0,Новосибирск
"Новосибирская область, 630010, г Новосибирск, ул Дегтярева, д. 19, обращаться: ул.Челюскинцев, д.18/2, оф.518, 83.031794, 55.04385",23.0,Новосибирск
"Новосибирская область, 630010, г Новосибирск, ул Дегтярева, д. 19, обращаться: ул.Челюскинцев, д.18/2, оф.518, 83.031794, 55.04385",23.0,Новосибирск
"Новосибирская область, 633209, г Искитим, ул Комсомольская, д. 19, 83.302726, 54.642946",11.0,Искитим
"Новосибирская область, 632334, г Барабинск, р-н Барабинский, ул Островского, д. 5, 78.342696, 55.347254",2.0,Барабинский
"Новосибирская область, 632334, г Барабинск, ул. Олега Сачевского, 5, 78.343217, 55.352332",2.0,Барабинский
"Новосибирская область, 632334, г Барабинск, ул. Олега Сачевского, 5, 78.343217, 55.352332",2.0,Барабинский
"Новосибирская область, 630112, г Новосибирск, ул Кольцова, д. 154, 82.949957, 55.050251",23.0,Новосибирск
"Новосибирская область, 630017, г Новосибирск, ул Блюхера, д. Дом  19, 82.891279, 54.985039",23.0,Новосибирск
"Новосибирская область, 630017, г Новосибирск, ул Вокзальная магистраль, д. Дом  5, 82.908051, 55.033145",23.0,Новосибирск
"Новосибирская область, 630099, г Новосибирск, ул Серебренниковская, д. 37а, 82.924454, 55.02893",23.0,Новосибирск
"Новосибирская область, 630099, г Новосибирск, ул Серебренниковская, д. 37а, 82.924454, 55.02893",23.0,Новосибирск
"Новосибирская область, 630099, г Новосибирск, ул Серебренниковская, д. 37а, 82.924454, 55.02893",23.0,Новосибирск
"Новосибирская область, 630099, г Новосибирск, ул Серебренниковская, д. 37а, 82.924454, 55.02893",23.0,Новосибирск
"Новосибирская область, 630099, г Новосибирск, ул Серебренниковская, д. 37а, 82.924454, 55.02893",23.0,Новосибирск
"Новосибирская область, 630099, г Новосибирск, ул Серебренниковская, д. 37а, 82.924454, 55.02893",23.0,Новосибирск
"Новосибирская область, 630017, г Новосибирск, ул Бориса Богаткова, д. Дом  206, 82.973313, 55.033677",23.0,Новосибирск
"Новосибирская область, 630099, г Новосибирск, ул Серебренниковская, д. 37а, 82.924454, 55.02893",23.0,Новосибирск
"Новосибирская область, 630099, г Новосибирск, ул Серебренниковская, д. 37а, 82.924454, 55.02893",23.0,Новосибирск
"Новосибирская область, 630120, г Новосибирск, ул Связистов, д. 12а, 82.831344, 54.988515",23.0,Новосибирск
"Новосибирская область, 630120, г Новосибирск, ул Связистов, д. 12а, 82.831344, 54.988515",23.0,Новосибирск
"Новосибирская область, 630120, г Новосибирск, ул Связистов, д. 12а, 82.831344, 54.988515",23.0,Новосибирск
"Новосибирская область, 630096, г Новосибирск, ул Станционная, д. 24/1, 82.861428, 54.998272",23.0,Новосибирск
"Новосибирская область, 630096, г Новосибирск, ул Станционная, д. 24/1, 82.861428, 54.998272",23.0,Новосибирск
"Новосибирская область, 630096, г Новосибирск, ул Станционная, д. 60/1, 82.816566, 54.997853",23.0,Новосибирск
"Новосибирская область, 630096, г Новосибирск, ул Станционная, д. 60/1, 82.816566, 54.997853",23.0,Новосибирск
"Новосибирская область, 630028, г Новосибирск, ул Нижегородская, д. 272, 82.978631, 54.999862",23.0,Новосибирск
"Новосибирская область, 630028, г Новосибирск, ул Нижегородская, д. 272, 82.978631, 54.999862",23.0,Новосибирск
"Новосибирская область, 630028, г Новосибирск, ул Нижегородская, д. 272, 82.978631, 54.999862",23.0,Новосибирск
"Новосибирская область, 630020, г Новосибирск, ул Фадеева, д. 87, 82.934551, 55.099356",23.0,Новосибирск
"Новосибирская область, 630020, г Новосибирск, ул Фадеева, д. 87, 82.934551, 55.099356",23.0,Новосибирск
"Новосибирская область, 630020, г Новосибирск, ул Фадеева, д. 87, 82.934551, 55.099356",23.0,Новосибирск
"Новосибирская область, 630020, г Новосибирск, ул Фадеева, д. 87, 82.934551, 55.099356",23.0,Новосибирск
"Новосибирская область, 630020, г Новосибирск, ул Фадеева, д. 87, 82.934551, 55.099356",23.0,Новосибирск
"Новосибирская область, 630051, г Новосибирск, ул Ползунова, д. 21, 82.992124, 55.066087",23.0,Новосибирск
"Новосибирская область, 630051, г Новосибирск, ул Ползунова, д. Дом  21, Собеседование - ул.Красина 54 оф.503, 82.989744, 55.064329",23.0,Новосибирск
"Новосибирская область, 630051, г Новосибирск, ул Ползунова, д. 21, 82.992124, 55.066087",23.0,Новосибирск
"Новосибирская область, 630091, г Новосибирск, пр-кт Красный, д. 82/1, офис 111, кв 4, 82.917339, 55.047415",23.0,Новосибирск
"Новосибирская область, 630108, г Новосибирск, ул Котовского, д. 26, 82.865111, 54.991217",23.0,Новосибирск
"Новосибирская область, 632180, с Кушаги, р-н Усть-Таркский, ул Школьная, д. 22, 75.756509, 55.674438",,
"Новосибирская область, 632180, с Кушаги, р-н Усть-Таркский, ул Школьная, д. 22, 75.756509, 55.674438",,
"Новосибирская область, 632168, д Богословка, р-н Усть-Таркский, ул Зеленая, д. 20, 75.809177, 55.798333",,
"Новосибирская область, 630088, г Новосибирск, ул Зорге, д. 39а, 82.905455, 54.936584",23.0,Новосибирск
"Новосибирская область, 630107, г Новосибирск, ул Связистов, д. 161/1, 82.83235, 54.962375",23.0,Новосибирск
"Новосибирская область, 630107, г Новосибирск, ул Связистов, д. 161/1, 82.83235, 54.962375",23.0,Новосибирск
"Новосибирская область, 630024, г Новосибирск, ул Мира, д. 58, 82.926969, 54.962463",23.0,Новосибирск
"Новосибирская область, 630090, г Новосибирск, ул Пирогова, д. 25, 83.090553, 54.850806",23.0,Новосибирск
"Новосибирская область, 630090, г Новосибирск, ул Пирогова, д. 25, 83.090553, 54.850806",23.0,Новосибирск
"Новосибирская область, 630008, г Новосибирск, ул Карла Либкнехта, д. 125, офис 201, 82.966235, 55.020456",23.0,Новосибирск
"Новосибирская область, 630008, г Новосибирск, ул Карла Либкнехта, д. 125, офис 201, 82.966235, 55.020456",23.0,Новосибирск
"Новосибирская область, 630017, г Новосибирск, ул Бориса Богаткова, д. 206, 82.973313, 55.033677",23.0,Новосибирск
"Новосибирская область, 630129, г Новосибирск, ул Рассветная, д. 4, 82.972244, 55.11011",23.0,Новосибирск
"Новосибирская область, 630132, г Новосибирск, ул Железнодорожная, д. 3, 82.894585, 55.043819",23.0,Новосибирск
"Новосибирская область, 633102, г Обь, ул Геодезическая, д. 10/1, 82.68508, 54.989662",25.0,Обь
"Новосибирская область, 630071, г Новосибирск, ул Станционная, д. 60/9, 82.821238, 54.99806",23.0,Новосибирск
"Новосибирская область, 630071, г Новосибирск, ул Станционная, д. 60/9, 82.821238, 54.99806",23.0,Новосибирск
"Новосибирская область, 630071, г Новосибирск, ул Станционная, д. 60/9, 82.821238, 54.99806",23.0,Новосибирск
"Новосибирская область, 630052, г Новосибирск, ул Толмачевская, д. 43а, 82.807332, 54.959346",23.0,Новосибирск
"Новосибирская область, 630007, г Новосибирск, ул Советская, д. 5, блок Б, 1 этаж, 82.91725, 55.021571",23.0,Новосибирск
"Новосибирская область, 633209, г Искитим, ул Пушкина, д. 51, 83.304217, 54.641972",11.0,Искитим
"Новосибирская область, 633209, г Искитим, ул Пушкина, д. 39, 83.303642, 54.644812",11.0,Искитим
"Новосибирская область, 633209, г Искитим, ул Пушкина, д. 51, 83.304217, 54.641972",11.0,Искитим
"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 220, корп. 14, 82.917447, 55.071912",23.0,Новосибирск
"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 220, корп. 14, 82.917447, 55.071912",23.0,Новосибирск
"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 220, корп. 14, 82.917447, 55.071912",23.0,Новосибирск
"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 220, корп. 14, 82.917447, 55.071912",23.0,Новосибирск
"Новосибирская область, 630049, г Новосибирск, пр-кт Красный, д. 220, корп. 14, 82.917447, 55.071912",23.0,Новосибирск
